"belongs_to_collection","budget","genres","id","imdb_id","original_language","original_title","overview","popularity","poster_path","production_companies","production_countries","release_date","revenue","runtime","spoken_languages","status","tagline","title","video","vote_average","vote_count","Horror","Year","year","decade","bydecade","boxoffice"
"",0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]","12110","tt0112896","en","Dracula: Dead and Loving It","When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",5.430331,"/xve4cgfYItnOhtzLYoTwTVy5FGr.jpg","[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Castle Rock Entertainment', 'id': 97}, {'name': 'Enigma Pictures', 'id': 6368}]","[{'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-12-22,0,88,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]","Released","","Dracula: Dead and Loving It",FALSE,5.7,210,TRUE,"1995",1995,"90s","90s",0
"{'id': 10924, 'name': 'From Dusk Till Dawn Collection', 'poster_path': '/a156nAy5ZTGXlO5wgfvnF26aaDB.jpg', 'backdrop_path': '/oIJQPVy33uxBAu9LMXwjsgHLyxP.jpg'}",1.9e+07,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]","755","tt0116367","en","From Dusk Till Dawn","Seth Gecko and his younger brother Richard are on the run after a bloody bank robbery in Texas. They escape across the border into Mexico and will be home-free the next morning, when they pay off the local kingpin. They just have to survive 'from dusk till dawn' at the rendezvous point, which turns out to be a Hell of a strip joint.",15.339153,"/ce0d4kM5KxT4x1Oq8JkSuNYevri.jpg","[{'name': 'A Band Apart', 'id': 59}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Los Hooligans Productions', 'id': 11705}, {'name': 'Miramax', 'id': 53009}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-01-19,25836616,108,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}]","Released","One night is all that stands between them and freedom. But it's going to be a hell of a night.","From Dusk Till Dawn",FALSE,6.9,1644,TRUE,"1996",1996,"90s","90s",44836616
"{'id': 122017, 'name': 'Screamers Collection', 'poster_path': '/vtCuIaQvK3IyLENmuc73RFm4TU7.jpg', 'backdrop_path': None}",2e+07,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]","9102","tt0114367","en","Screamers","(SIRIUS 6B, Year 2078) On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.",12.758848,"/aFEs7D7IQ2IehTsniRIojDkiDl6.jpg","[{'name': 'The Movie Network (TMN)', 'id': 3388}, {'name': 'Allegro Films', 'id': 4899}, {'name': 'Fuji Eight Company Ltd.', 'id': 7958}, {'name': 'Fries Film Group', 'id': 23096}, {'name': 'Super Ecran', 'id': 23097}, {'name': 'Triumph Films', 'id': 23098}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'JP', 'name': 'Japan'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-09-08,5781885,108,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","The last scream you hear will be your own.","Screamers",FALSE,6.1,154,TRUE,"1995",1995,"90s","90s",25781885
"",4.7e+07,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]","9095","tt0117002","en","Mary Reilly","A housemaid falls in love with Dr. Jekyll and his darkly mysterious counterpart, Mr. Hyde.",12.866139,"/Oesh4pN5J2ing4flkgkiVdxILP.jpg","[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'NFH Productions', 'id': 18737}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1996-02-23,12379402,104,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","The untold story of Jekyll and Hyde","Mary Reilly",FALSE,5.7,77,TRUE,"1996",1996,"90s","90s",59379402
"",1.4e+07,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]","12158","tt0114825","en","Vampire in Brooklyn","Maximillian, the lone survivor of a race of vampires, comes to Brooklyn in search of a way to live past the next full moon. His ticket to survival is Rita, a NYPD detective who doesn't know she's half vampire -- and Maximillian will do whatever's necessary to put her under his spell.",9.071127,"/bH1v8z12ZU7Y6zANgU1B00a86Co.jpg","[{'name': 'Paramount Pictures', 'id': 4}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-10-26,19800000,100,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","A comic tale of horror and seduction.","Vampire in Brooklyn",FALSE,4.5,113,TRUE,"1995",1995,"90s","90s",33800000
"",0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]","34996","tt0112288","en","The Addiction","A vampiric doctoral student tries to follow the philosophy of a nocturnal comrade and control her thirst for blood.",3.137285,"/ej0gD547grj5QMoKuzqKyHuc3Xi.jpg","[{'name': 'October Films', 'id': 236}, {'name': 'Guild', 'id': 1214}, {'name': 'Fastnet Films', 'id': 5353}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-01-10,0,82,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","The dark is their sunlight. What makes them different is what keeps them alive.","The Addiction",FALSE,6.4,46,TRUE,"1995",1995,"90s","90s",0
"",0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","8973","tt0113690","en","Lord of Illusions","During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult who are preparing for the resurrection of their leader Nix, a powerful magician who was killed 13 years earlier.",4.102409,"/9pwdoUes8V8ntTetsKtv2ThGeIm.jpg","[{'name': 'United Artists', 'id': 60}, {'name': 'Seraphim Films', 'id': 3557}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-08-25,0,119,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Trust Nothing Except Your Fear.","Lord of Illusions",FALSE,5.9,87,TRUE,"1995",1995,"90s","90s",0
"",0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","34574","tt0110620","en","Nadja","This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are being hunted by Dr. Van Helsing and his hapless nephew. As in all good vampire movies, forces of love are pitted against forces of destruction.",7.720056,"/bRz2J0jlMgczJptX0Atzo9l70Bd.jpg","[{'name': 'Kino Link Company', 'id': 37897}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-09-13,0,93,"[{'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'en', 'name': 'English'}]","Released","Unseen. Unforgiving. Undead.","Nadja",FALSE,5.9,12,TRUE,"1994",1994,"90s","90s",0
"{'id': 9068, 'name': 'The Prophecy Collection', 'poster_path': '/pU4wvBeirFDNk8rs9tsGZLa7Kyb.jpg', 'backdrop_path': None}",8,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]","11980","tt0114194","en","The Prophecy","The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",10.187623,"/A3aYGp8LLxuFdzG2ETnhfbWPk7h.jpg","[{'name': 'Dimension Films', 'id': 7405}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-09-01,16,98,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","On ancient ground, at the edge of the world, an evil born in heaven is about to be unleashed on earth.","The Prophecy",FALSE,6.4,139,TRUE,"1995",1995,"90s","90s",24
"{'id': 9887, 'name': 'Species Collection', 'poster_path': '/t5J0JH1L8L7CmtC3sL3K2ybgTbE.jpg', 'backdrop_path': '/vnpcoCTZhg1EdEog1kAS0pklx1o.jpg'}",3.5e+07,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]","9348","tt0114508","en","Species","In 1993, the Search for Extra Terrestrial Intelligence Project receives a transmission detailing an alien DNA structure, along with instructions on how to splice it with human DNA. The result is Sil, a sensual but deadly creature who can change from a beautiful woman to an armour-plated killing machine in the blink of an eye.",13.492845,"/94P6kzKH8aPmQmPr9yZjgy7BtQQ.jpg","[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-07-07,113374103,108,"[{'iso_639_1': 'en', 'name': 'English'}]","Released","Our time is up.","Species",FALSE,5.5,457,TRUE,"1995",1995,"90s","90s",148374103
"",0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 9648, 'name': 'Mystery'}]","18256","tt0112643","en","Castle Freak","John has inherited a castle and Italy and he moves there with his wife Susan and their blind daughter Rebecca. What they don't realize is that there is somebody else in the castle. An abused child left to die in the basement who has now become the castle freak and is out to wreak havoc.",2.26977,"/eeO3BIHJoI3sabtkqfYOStdbOwm.jpg","[{'name': 'Full Moon Entertainment', 'id': 4867}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1995-08-04,0,95,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'it', 'name': 'Italiano'}, {'iso_639_1': 'sv', 'name': 'svenska'}]","Released","Hideous... hungry... and loose!","Castle Freak",FALSE,5.8,40,TRUE,"1995",1995,"90s","90s",0
"{'id': 217704, 'name': 'The Vampire Chronicles', 'poster_path': '/1Iop0dywqQeD5Mm7oRVR8vZ8gkj.jpg', 'backdrop_path': '/5margBoJC97ZrciVpAUc0PiY6Rc.jpg'}",6e+07,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]","628","tt0110148","en","Interview with the Vampire","A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",11.970205,"/hldXwwViSfHJS0kIJr07KBGmHJI.jpg","[{'name': 'Geffen Pictures', 'id': 360}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1994-11-11,223664608,123,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}]","Released","Drink from me and live forever","Interview with the Vampire",FALSE,7.2,1558,TRUE,"1994",1994,"90s","90s",283664608
